GID,GO,EVIDENCE,Aspect
LotjaGi0g1v0000200.1,GO:0006163,ISS,P
LotjaGi0g1v0000400.1,GO:0006468,ISS,P
LotjaGi0g1v0000400.2,GO:0006468,ISS,P
LotjaGi0g1v0000400.3,GO:0006468,ISS,P
LotjaGi0g1v0000500.1,GO:0005975,ISS,P
LotjaGi0g1v0001000_LC.1,GO:0006355,ISS,P
LotjaGi0g1v0001800.1,GO:0055114,ISS,P
LotjaGi0g1v0001900.1,GO:0055114,ISS,P
LotjaGi0g1v0002000.1,GO:0005975,ISS,P
LotjaGi0g1v0002000.1,GO:0006073,ISS,P
LotjaGi0g1v0002000.1,GO:0010411,ISS,P
LotjaGi0g1v0002000.1,GO:0042546,ISS,P
LotjaGi0g1v0002000.2,GO:0005975,ISS,P
LotjaGi0g1v0002200.1,GO:0006556,ISS,P
LotjaGi0g1v0002200.3,GO:0006556,ISS,P
LotjaGi0g1v0002600_LC.1,GO:0015074,ISS,P
LotjaGi0g1v0002700_LC.1,GO:0015074,ISS,P
LotjaGi0g1v0002800_LC.1,GO:0015074,ISS,P
LotjaGi1g1v0000200.1,GO:0032012,ISS,P
LotjaGi1g1v0000200.2,GO:0032012,ISS,P
LotjaGi1g1v0000200.3,GO:0032012,ISS,P
LotjaGi1g1v0000200.4,GO:0032012,ISS,P
LotjaGi1g1v0000300_LC.1,GO:0032012,ISS,P
LotjaGi1g1v0000400.1,GO:0006355,ISS,P
LotjaGi1g1v0000500.1,GO:0006821,ISS,P
LotjaGi1g1v0000500.1,GO:0055085,ISS,P
LotjaGi1g1v0000800.1,GO:0006468,ISS,P
LotjaGi1g1v0000800.2,GO:0006468,ISS,P
LotjaGi1g1v0000800.3,GO:0006468,ISS,P
LotjaGi1g1v0000900.1,GO:0006566,ISS,P
LotjaGi1g1v0001000.2,GO:0007186,ISS,P
LotjaGi1g1v0001300.1,GO:0006468,ISS,P
LotjaGi1g1v0001700.1,GO:0055085,ISS,P
LotjaGi1g1v0001700.2,GO:0055085,ISS,P
LotjaGi1g1v0002100.1,GO:0006468,ISS,P
LotjaGi1g1v0002100.2,GO:0006468,ISS,P
LotjaGi1g1v0002100.3,GO:0006468,ISS,P
LotjaGi1g1v0002500.1,GO:0009058,ISS,P
LotjaGi1g1v0002500.2,GO:0009058,ISS,P
LotjaGi1g1v0002500.3,GO:0009058,ISS,P
LotjaGi1g1v0002600.1,GO:0030001,ISS,P
LotjaGi1g1v0002600.1,GO:0055085,ISS,P
LotjaGi1g1v0002600.1,GO:0071577,ISS,P
LotjaGi1g1v0003000.1,GO:0006886,ISS,P
LotjaGi1g1v0003000.1,GO:0016192,ISS,P
LotjaGi1g1v0003000.1,GO:0015031,ISS,P
LotjaGi1g1v0003000.2,GO:0006886,ISS,P
LotjaGi1g1v0003000.2,GO:0016192,ISS,P
