rawfq_R1,rawfq_R2,sample
4276757,4276757,C_AtSC_1
6083895,6083895,C_AtSC_2
4875875,4875875,C_AtSC_3
5482413,5482413,C_AtSC_4
4639607,4639607,C_fSC_1
4658497,4658497,C_fSC_2
5282384,5282384,C_fSC_3
5326243,5326243,C_fSC_4
6556825,6556825,C_LjSC_1
5596566,5596566,C_LjSC_2
6638084,6638084,C_LjSC_3
4890113,4890113,C_LjSC_4
5035941,5035941,C_mock_1
5325242,5325242,C_mock_2
5417868,5417868,C_mock_3
5346286,5346286,C_mock_4
5734108,5734108,L_AtSC_1
5692404,5692404,L_AtSC_2
5407517,5407517,L_AtSC_3
5500242,5500242,L_AtSC_4
4959955,4959955,L_AtSCMloti_1
6008565,6008565,L_AtSCMloti_2
4845778,4845778,L_AtSCMloti_3
4421356,4421356,L_AtSCMloti_4
4583627,4583627,L_fSC_1
4476429,4476429,L_fSC_2
4361632,4361632,L_fSC_3
5325088,5325088,L_fSC_4
5331394,5331394,L_LjSC_1
6162500,6162500,L_LjSC_2
5111611,5111611,L_LjSC_3
5519051,5519051,L_LjSC_4
6721149,6721149,L_mock_1
5900168,5900168,L_mock_2
4873367,4873367,L_mock_3
5203180,5203180,L_mock_4
