"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","ARA:PWY-7176",0.013858018466453,0.998707176179634,3,10,"UTP and CTP de novo biosynthesis","BioCyc"
"2","ARA:GLUTAMINDEG-PWY",0.0193255821677739,0.9978255842206,3,13,"L-glutamine degradation I","BioCyc"
"3","ARA:PWY-7208",0.0265877035817371,0.996616997250701,3,13,"superpathway of pyrimidine nucleobases salvage","BioCyc"
"4","ARA:PWY-4341",0.0270038618512689,1,1,1,"L-glutamate biosynthesis V","BioCyc"
"5","ARA:PWY-5687",0.0338002715709506,0.995212719881319,3,14,"pyrimidine ribonucleotides interconversion","BioCyc"
"6","ARA:PWY-6317",0.0434333740959792,0.996311474001398,2,8,"D-galactose degradation I (Leloir pathway)","BioCyc"
"7","ARA:RIBOSYN2-PWY",0.0449251047726275,0.996249444598073,2,7,"flavin biosynthesis I (bacteria and plants)","BioCyc"
"8","ARA:PWY0-162",0.0471645252932631,0.992214529504486,3,16,"superpathway of pyrimidine ribonucleotides de novo biosynthesis","BioCyc"
"9","ARA:PWY-6792",0.0476177679993071,0.996098210501507,2,6,"scopoletin biosynthesis","BioCyc"
"10","ARA:CITRULBIO-PWY",0.0486115281331851,0.991754459637644,3,18,"L-citrulline biosynthesis","BioCyc"
"11","ARA:PWY-3301",0.0555382535062197,1,1,1,"sinapate ester biosynthesis","BioCyc"
"12","ARA:CYANCAT-PWY",0.058408106369914,1,1,1,"cyanate degradation","BioCyc"
"13","ARA:PWY-7196",0.059026348935583,0.989166250854769,3,18,"superpathway of pyrimidine ribonucleosides salvage","BioCyc"
"14","ARA:PWY-3181",0.0669509025750753,0.998857098087244,1,2,"L-tryptophan degradation VI (via tryptamine)","BioCyc"
"15","ARA:PWY-7185",0.0702038548825118,0.991826047020916,2,10,"UTP and CTP dephosphorylation I","BioCyc"
"16","ARA:PWY-7398",0.0933765408171989,0.987437144701556,2,9,"coumarins biosynthesis (engineered)","BioCyc"
"17","ARA:PWY-2841",0.0943912081109215,0.997694326644851,1,2,"cytokinins degradation","BioCyc"
"18","ARA:PWY-4261",0.0979161004550187,0.997514118195565,1,2,"glycerol degradation I","BioCyc"
"19","ARA:PWY-5391",0.10369963236189,0.997202911362589,1,2,"syringetin biosynthesis","BioCyc"
"20","ARA:PWY4FS-3",0.108427223920277,0.996934078281561,1,2,"phosphatidylcholine biosynthesis III","BioCyc"
"21","ARA:PWY4FS-4",0.108427223920277,0.996934078281561,1,2,"phosphatidylcholine biosynthesis IV","BioCyc"
"22","ARA:PWY-6064",0.110590027586731,0.99680672773996,1,2,"methylquercetin biosynthesis","BioCyc"
"23","ARA:PWY-6199",0.110590027586731,0.99680672773996,1,2,"quercetin sulfate biosynthesis","BioCyc"
"24","ARA:PWYQT-4429",0.112670378637685,0.995605151326339,1,3,"CO2 fixation into oxaloacetate (anaplerotic)","BioCyc"
"25","ARA:PWY-7061",0.112882587594787,0.995588120662476,1,3,"glutamate-glutamine shuttle","BioCyc"
"26","ARA:PWY-6196",0.114939811689579,0.996542255521398,1,2,"D-serine metabolism","BioCyc"
"27","ARA:PWY0-1535",0.114939811689579,0.996542255521398,1,2,"D-serine degradation","BioCyc"
"28","ARA:PWY-6549",0.118331722090047,0.980449001722046,2,14,"L-glutamine biosynthesis III","BioCyc"
"29","ARA:PWY-66",0.121247765135658,0.996138767983012,1,2,"GDP-L-fucose biosynthesis I (from GDP-D-mannose)","BioCyc"
"30","ARA:PWY-1121",0.12178048596329,0.968780363988818,3,24,"suberin monomers biosynthesis","BioCyc"
"31","ARA:PWY-6825",0.122023558438933,0.996087502411967,1,2,"phosphatidylcholine biosynthesis V","BioCyc"
"32","ARA:PWY-6287",0.124989205365877,0.994558585906952,1,3,"neurosporene biosynthesis","BioCyc"
"33","ARA:ASPARAGINE-BIOSYNTHESIS",0.126596752688332,0.994413257413517,1,3,"L-asparagine biosynthesis I","BioCyc"
"34","ARA:ASPARAGINESYN-PWY",0.126596752688332,0.994413257413517,1,3,"L-asparagine biosynthesis II","BioCyc"
"35","ARA:PWY0-1325",0.126596752688332,0.994413257413517,1,3,"superpathway of L-asparagine biosynthesis","BioCyc"
"36","ARA:PWY-5172",0.127142811820104,0.994363428139264,1,3,"acetyl-CoA biosynthesis III (from citrate)","BioCyc"
"37","ARA:PWY-63",0.138894335973519,0.993233711736368,1,3,"UDP-L-arabinose biosynthesis I (from UDP-xylose)","BioCyc"
"38","ARA:PWY-7344",0.139392657980636,0.993183367167573,1,3,"UDP-D-galactose biosynthesis","BioCyc"
"39","ARA:PWY-5168",0.142479026902268,0.992867100779151,1,3,"ferulate and sinapate biosynthesis","BioCyc"
"40","ARA:ETHYL-PWY",0.14472280206436,0.97351900628431,2,12,"ethylene biosynthesis I (plants)","BioCyc"
"41","ARA:PWY-2582",0.148531138676097,0.992224539528396,1,3,"brassinosteroid biosynthesis II","BioCyc"
"42","ARA:PWY-3461",0.157064811728464,0.991267646835727,1,3,"L-tyrosine biosynthesis II","BioCyc"
"43","ARA:PWY-6964",0.159090808569244,0.989959405141388,1,4,"ammonia assimilation cycle II","BioCyc"
"44","ARA:PWY-7101",0.161350923761438,0.99076436054266,1,3,"5-deoxystrigol biosynthesis","BioCyc"
"45","ARA:SAM-PWY",0.162506703846756,0.990626030471867,1,3,"S-adenosyl-L-methionine biosynthesis","BioCyc"
"46","ARA:PWY4FS-8",0.176071618283823,0.962725861887101,2,15,"phosphatidylglycerol biosynthesis II (non-plastidic)","BioCyc"
"47","ARA:PWY-7211",0.179015420775703,0.944805780151462,3,28,"superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis","BioCyc"
"48","ARA:PWY4FS-5",0.187340047674411,0.985885702619954,1,4,"superpathway of phosphatidylcholine biosynthesis","BioCyc"
"49","ARA:PWY-321",0.188432021228377,0.95813280137667,2,16,"cutin biosynthesis","BioCyc"
"50","ARA:PWY-5381",0.188715641387742,0.958572352625729,2,14,"pyridine nucleotide cycling (plants)","BioCyc"
"51","ARA:PWY-6544",0.188735738989563,0.985664828133607,1,4,"superpathway of C28 brassinosteroid biosynthesis","BioCyc"
"52","ARA:PWY-699",0.188735738989563,0.985664828133607,1,4,"brassinosteroid biosynthesis I","BioCyc"
"53","ARA:PWY0-662",0.194473278498306,0.984737084159987,1,4,"PRPP biosynthesis I","BioCyc"
"54","ARA:PWY-7270",0.194706374143041,0.956103939635745,2,15,"L-methionine salvage cycle II (plants)","BioCyc"
"55","ARA:PWY-7177",0.198669949023312,0.983037046973539,1,5,"UTP and CTP dephosphorylation II","BioCyc"
"56","ARA:PWY-2181",0.20201894793336,0.983468223820769,1,4,"free phenylpropanoid acid biosynthesis","BioCyc"
"57","ARA:PWY-6733",0.204866475534578,0.951767983368243,2,17,"sporopollenin precursors biosynthesis","BioCyc"
"58","ARA:METHIONINE-DEG1-PWY",0.207184879596351,0.982567285163769,1,4,"L-methionine degradation I (to L-homocysteine)","BioCyc"
"59","ARA:PWY-5269",0.207300193294384,0.982546873336553,1,4,"cardiolipin biosynthesis II","BioCyc"
"60","ARA:PWY-5989",0.212566449216045,0.948534386646108,2,18,"stearate biosynthesis II (bacteria and plants)","BioCyc"
"61","ARA:PWY-6147",0.218852901169498,0.980434662108276,1,4,"6-hydroxymethyl-dihydropterin diphosphate biosynthesis I","BioCyc"
"62","ARA:PWY-3821",0.22529910310571,0.97790511161313,1,5,"D-galactose degradation III","BioCyc"
"63","ARA:PWY0-1507",0.226625774135478,0.977629759558827,1,5,"biotin biosynthesis from 8-amino-7-oxononanoate I","BioCyc"
"64","ARA:PWY-5188",0.231159433040225,0.976674457502359,1,5,"tetrapyrrole biosynthesis I (from glutamate)","BioCyc"
"65","ARA:PWY-5136",0.233294430717951,0.975298820592155,1,6,"fatty acid &beta;-oxidation II (peroxisome)","BioCyc"
"66","ARA:PWY-3481",0.234636759242323,0.97592663358359,1,5,"superpathway of L-phenylalanine and L-tyrosine biosynthesis","BioCyc"
"67","ARA:PWY-6121",0.235924666098982,0.975646315767528,1,5,"5-aminoimidazole ribonucleotide biosynthesis I","BioCyc"
"68","ARA:PWY-6122",0.235924666098982,0.975646315767528,1,5,"5-aminoimidazole ribonucleotide biosynthesis II","BioCyc"
"69","ARA:PWY-6606",0.236266530307957,0.974629720928228,1,6,"guanosine nucleotides degradation II","BioCyc"
