"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","path:ath00965",0.00283542750663617,1,2,2,"Betalain biosynthesis","KEGG"
"2","path:ath00901",0.0571535964866994,1,1,1,"Indole alkaloid biosynthesis","KEGG"
"3","path:ath00230",0.058623430988563,0.978017591790411,7,63,"Purine metabolism","KEGG"
"4","path:ath00460",0.0877350079461815,0.980662850149037,3,19,"Cyanoamino acid metabolism","KEGG"
"5","path:ath00330",0.0910674654198563,0.9734710647522,4,31,"Arginine and proline metabolism","KEGG"
"6","path:ath04075",0.0999254708542371,0.954531123076542,8,86,"Plant hormone signal transduction","KEGG"
"7","path:ath00500",0.101833667374455,0.956394610638188,7,68,"Starch and sucrose metabolism","KEGG"
"8","path:ath03040",0.105692632571316,0.946677049717614,10,113,"Spliceosome","KEGG"
"9","path:ath00380",0.122765056695606,0.968281362893248,3,22,"Tryptophan metabolism","KEGG"
"10","path:ath03020",0.139147000596804,0.96185633944758,3,23,"RNA polymerase","KEGG"
"11","path:ath00340",0.144372970602439,0.973381837727444,2,12,"Histidine metabolism","KEGG"
"12","path:ath00730",0.154122842484346,0.97013435438112,2,13,"Thiamine metabolism","KEGG"
"13","path:ath03013",0.19905129385322,0.892995377673781,8,97,"RNA transport","KEGG"
"14","path:ath00903",0.208050881066805,0.982297975270026,1,4,"Limonene and pinene degradation","KEGG"
"15","path:ath00970",0.232571930519839,0.902470763603566,4,42,"Aminoacyl-tRNA biosynthesis","KEGG"
"16","path:ath00905",0.251641235480491,0.971898142284067,1,5,"Brassinosteroid biosynthesis","KEGG"
"17","path:ath00904",0.25612911118897,0.970822326054615,1,5,"Diterpenoid biosynthesis","KEGG"
"18","path:ath00950",0.296652501102681,0.958548061342779,1,6,"Isoquinoline alkaloid biosynthesis","KEGG"
"19","path:ath00620",0.300323135813036,0.859302454020641,4,48,"Pyruvate metabolism","KEGG"
"20","path:ath00240",0.304380310845861,0.875802610028776,3,35,"Pyrimidine metabolism","KEGG"
"21","path:ath04120",0.30449454046415,0.84244204714402,5,63,"Ubiquitin mediated proteolysis","KEGG"
"22","path:ath00940",0.315647515262246,0.848454749752601,4,53,"Phenylpropanoid biosynthesis","KEGG"
"23","path:ath04130",0.327912778448987,0.891928409693282,2,22,"SNARE interactions in vesicular transport","KEGG"
"24","path:ath00908",0.335801685303288,0.944448732852714,1,7,"Zeatin biosynthesis","KEGG"
"25","path:ath00630",0.344652658943334,0.849584076276465,3,37,"Glyoxylate and dicarboxylate metabolism","KEGG"
"26","path:ath03018",0.344818873512353,0.812644506381903,5,67,"RNA degradation","KEGG"
"27","path:ath01110",0.361194621704386,0.714928644261558,31,517,"Biosynthesis of secondary metabolites","KEGG"
"28","path:ath04122",0.423511655787784,0.903549089386508,1,10,"Sulfur relay system","KEGG"
"29","path:ath00062",0.427178260985117,0.901679858996391,1,10,"Fatty acid elongation","KEGG"
"30","path:ath04016",0.437996610696638,0.75513007264933,4,60,"MAPK signaling pathway - plant","KEGG"
"31","path:ath03450",0.44097314892563,0.895532601904458,1,9,"Non-homologous end-joining","KEGG"
"32","path:ath00061",0.453216634094847,0.809690237912298,2,26,"Fatty acid biosynthesis","KEGG"
"33","path:ath00740",0.459913474671164,0.883024356064162,1,11,"Riboflavin metabolism","KEGG"
"34","path:ath03060",0.480844482145805,0.78778572007883,2,29,"Protein export","KEGG"
"35","path:ath00520",0.486560527111045,0.713211703332127,4,63,"Amino sugar and nucleotide sugar metabolism","KEGG"
"36","path:ath00071",0.493501496986497,0.77801329577464,2,28,"Fatty acid degradation","KEGG"
"37","path:ath03410",0.498478774723706,0.773706050505582,2,29,"Base excision repair","KEGG"
"38","path:ath00760",0.505338374212928,0.854149006676652,1,12,"Nicotinate and nicotinamide metabolism","KEGG"
"39","path:ath04626",0.528267198115943,0.674706381790316,4,68,"Plant-pathogen interaction","KEGG"
"40","path:ath00650",0.530894390623608,0.835708350188056,1,13,"Butanoate metabolism","KEGG"
"41","path:ath00710",0.541274474539435,0.736605445240974,2,32,"Carbon fixation in photosynthetic organisms","KEGG"
"42","path:ath00350",0.553137966006381,0.818435259842558,1,14,"Tyrosine metabolism","KEGG"
"43","path:ath00900",0.557988659802885,0.721317270550283,2,33,"Terpenoid backbone biosynthesis","KEGG"
"44","path:ath04146",0.561870291030965,0.671213304712261,3,51,"Peroxisome","KEGG"
"45","path:ath00600",0.573689153401803,0.802213726166515,1,14,"Sphingolipid metabolism","KEGG"
"46","path:ath00051",0.577168280368519,0.703199674683242,2,34,"Fructose and mannose metabolism","KEGG"
"47","path:ath00860",0.583984485611615,0.696449840361272,2,35,"Porphyrin and chlorophyll metabolism","KEGG"
"48","path:ath00280",0.590618105412934,0.690262423964755,2,34,"Valine, leucine and isoleucine degradation","KEGG"
"49","path:ath00030",0.590635262291518,0.690007527603515,2,35,"Pentose phosphate pathway","KEGG"
"50","path:ath00770",0.605386735305203,0.773683837559993,1,16,"Pantothenate and CoA biosynthesis","KEGG"
"51","path:ath00906",0.633460517606972,0.746870633416985,1,17,"Carotenoid biosynthesis","KEGG"
"52","path:ath00360",0.635880421463408,0.743890639203475,1,18,"Phenylalanine metabolism","KEGG"
"53","path:ath04712",0.641497776645812,0.738991379441789,1,17,"Circadian rhythm - plant","KEGG"
"54","path:ath00270",0.644634536653974,0.585110716644449,3,59,"Cysteine and methionine metabolism","KEGG"
