"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0032040",0.000220132039327464,0.99996167651951,10,28,"small-subunit processome","CC"
"2","GO:0005657",0.00370664987322207,0.999899963107235,3,4,"replication fork","CC"
"3","GO:0101031",0.00853884795891003,1,2,2,"chaperone complex","CC"
"4","GO:0033063",0.00871326742840446,1,2,2,"Rad51B-Rad51C-Rad51D-XRCC2 complex","CC"
"5","GO:0034388",0.00888231731937556,0.99951693777698,3,5,"Pwp2p-containing subcomplex of 90S preribosome","CC"
"6","GO:0005845",0.0089277447655542,0.999513526996441,3,5,"mRNA cap binding complex","CC"
"7","GO:0005951",0.00975230956398079,1,2,2,"carbamoyl-phosphate synthase complex","CC"
"8","GO:0043614",0.00999706308229765,1,2,2,"multi-eIF complex","CC"
"9","GO:0005834",0.0162495708661233,0.995087797895623,8,35,"heterotrimeric G-protein complex","CC"
"10","GO:0005730",0.0208331679551659,0.987250429874276,34,245,"nucleolus","CC"
"11","GO:0019897",0.0242246996759221,0.99920271972568,2,3,"extrinsic component of plasma membrane","CC"
"12","GO:0048226",0.0245933315412455,0.999183818343974,2,3,"Casparian strip","CC"
"13","GO:0031428",0.0253895391167287,0.999142440304001,2,3,"box C/D snoRNP complex","CC"
"14","GO:0005846",0.029417601595402,0.99892178936263,2,3,"nuclear cap binding complex","CC"
"15","GO:0080008",0.0303975834583275,0.985347755828266,15,88,"Cul4-RING E3 ubiquitin ligase complex","CC"
"16","GO:0033179",0.0442731788735454,0.997154677606885,2,4,"proton-transporting V-type ATPase, V0 domain","CC"
"17","GO:0048188",0.0446370851332078,0.997118012808164,2,4,"Set1C/COMPASS complex","CC"
"18","GO:0030015",0.0467969585632579,0.996896782475682,2,4,"CCR4-NOT core complex","CC"
"19","GO:0031461",0.0530184101797306,0.996225606062769,2,4,"cullin-RING ubiquitin ligase complex","CC"
"20","GO:0000812",0.0532003645710219,0.996205231835396,2,4,"Swr1 complex","CC"
"21","GO:0005829",0.0536694429329049,0.956508572624164,131,1172,"cytosol","CC"
