"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0004550",0.00019914598900272,0.999992604499118,5,7,"nucleoside diphosphate kinase activity","MF"
"2","GO:0022857",0.00498311541150465,0.998071235077571,15,88,"transmembrane transporter activity","MF"
"3","GO:0045156",0.00513767369614924,0.999843427758361,3,4,"electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity","MF"
"4","GO:0015385",0.00548975835890131,0.999705676476371,3,6,"sodium:proton antiporter activity","MF"
"5","GO:0008198",0.00685261534910904,0.999310417158329,4,9,"ferrous iron binding","MF"
"6","GO:0106029",0.00777246336973358,1,2,2,"tRNA pseudouridine synthase activity","MF"
"7","GO:0008309",0.00858762788975999,1,2,2,"double-stranded DNA exodeoxyribonuclease activity","MF"
"8","GO:0043765",0.00858762788975999,1,2,2,"T/G mismatch-specific endonuclease activity","MF"
"9","GO:0004798",0.0101603486914822,1,2,2,"thymidylate kinase activity","MF"
"10","GO:0005085",0.0102390649670867,0.999189887443515,3,8,"guanyl-nucleotide exchange factor activity","MF"
"11","GO:1990269",0.0121722161990448,0.999724258497845,2,3,"RNA polymerase II C-terminal domain phosphoserine binding","MF"
"12","GO:0042781",0.0192341019930556,0.999442245606203,2,3,"3'-tRNA processing endoribonuclease activity","MF"
"13","GO:0008137",0.0205439818486252,0.995826298322466,5,16,"NADH dehydrogenase (ubiquinone) activity","MF"
"14","GO:0016891",0.0210571096391266,0.999358425331903,2,3,"endoribonuclease activity, producing 5'-phosphomonoesters","MF"
"15","GO:0048038",0.0244336917303079,0.99605582282135,4,11,"quinone binding","MF"
"16","GO:0004322",0.0272065871691169,0.999045387846525,2,3,"ferroxidase activity","MF"
"17","GO:0046975",0.0279475137295169,0.998609522123135,2,4,"histone methyltransferase activity (H3-K36 specific)","MF"
"18","GO:0034513",0.0307558245613639,0.998844612262675,2,3,"box H/ACA snoRNA binding","MF"
"19","GO:0070034",0.0320425368339365,0.99828106373546,2,4,"telomerase RNA binding","MF"
"20","GO:0005215",0.0323168995076856,0.983296226600056,17,133,"transporter activity","MF"
"21","GO:0016161",0.0362353695854722,0.997918882678463,2,4,"beta-amylase activity","MF"
"22","GO:0044877",0.0366646148848177,0.997880371242358,2,4,"protein-containing complex binding","MF"
"23","GO:0051537",0.0373110315828089,0.988995330323462,6,28,"2 iron, 2 sulfur cluster binding","MF"
"24","GO:0050833",0.0407801211914816,0.99749798753581,2,4,"pyruvate transmembrane transporter activity","MF"
