"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0043547",0.000895260023507312,1,3,3,"positive regulation of GTPase activity","BP"
"2","GO:0040008",0.00318191571493988,0.999202111089394,9,39,"regulation of growth","BP"
"3","GO:0042273",0.00462879741651254,0.999546989744207,4,11,"ribosomal large subunit biogenesis","BP"
"4","GO:0045944",0.00463323831285439,0.998662455473704,10,44,"positive regulation of transcription by RNA polymerase II","BP"
"5","GO:0043461",0.00520156967045761,1,2,2,"proton-transporting ATP synthase complex assembly","BP"
"6","GO:0009960",0.00558343177837237,0.999199169284265,5,15,"endosperm development","BP"
"7","GO:0098542",0.00605589107582923,1,2,2,"defense response to other organism","BP"
"8","GO:0006617",0.0061425337286982,1,2,2,"SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition","BP"
"9","GO:0080147",0.00711401733181412,0.99923972324485,4,10,"root hair cell development","BP"
"10","GO:0032959",0.00770515353775943,1,2,2,"inositol trisphosphate biosynthetic process","BP"
"11","GO:0051209",0.00770515353775943,1,2,2,"release of sequestered calcium ion into cytosol","BP"
"12","GO:0009646",0.00772375000930201,0.998760575139744,5,17,"response to absence of light","BP"
"13","GO:0070897",0.00782421136329258,1,2,2,"transcription preinitiation complex assembly","BP"
"14","GO:0006904",0.00791646924646681,0.998762247243452,5,15,"vesicle docking involved in exocytosis","BP"
"15","GO:0042255",0.00950321873937698,0.999811337525383,2,3,"ribosome assembly","BP"
"16","GO:0006552",0.0104333245545881,0.999289292488587,3,6,"leucine catabolic process","BP"
"17","GO:1990116",0.0120263337660349,1,2,2,"ribosome-associated ubiquitin-dependent protein catabolic process","BP"
"18","GO:0098656",0.0156859221073906,0.999592826968727,2,3,"anion transmembrane transport","BP"
"19","GO:0008535",0.0170211033664285,0.999538201952512,2,3,"respiratory chain complex IV assembly","BP"
"20","GO:0009911",0.0187240502989978,0.995376892070678,6,25,"positive regulation of flower development","BP"
"21","GO:0009086",0.0228574762696606,0.997543669351586,3,8,"methionine biosynthetic process","BP"
"22","GO:0009825",0.023193990339282,0.994021074416491,6,24,"multidimensional cell growth","BP"
"23","GO:0072344",0.0252462371062555,0.999150205468892,2,3,"rescue of stalled ribosome","BP"
"24","GO:0009561",0.0264781093785208,0.995242225068592,4,15,"megagametogenesis","BP"
"25","GO:0009909",0.028632121066724,0.990997463991888,7,37,"regulation of flower development","BP"
"26","GO:0006887",0.0293415185163022,0.993086277375455,5,21,"exocytosis","BP"
"27","GO:0048015",0.0337413750898865,0.996014727808624,3,7,"phosphatidylinositol-mediated signaling","BP"
"28","GO:0045899",0.0349787572005158,0.998030364661477,2,4,"positive regulation of RNA polymerase II transcriptional preinitiation complex assembly","BP"
"29","GO:0048232",0.0351982563692373,0.998011102069804,2,4,"male gamete generation","BP"
"30","GO:0015743",0.0354969859568562,0.997984774958709,2,4,"malate transport","BP"
"31","GO:0000304",0.0356252107359189,0.997973435131941,2,4,"response to singlet oxygen","BP"
"32","GO:0048574",0.0374198200663867,0.994902732645204,3,9,"long-day photoperiodism, flowering","BP"
"33","GO:0009117",0.0391525122843371,0.997293673066782,2,5,"nucleotide metabolic process","BP"
"34","GO:0060968",0.0416709590411199,0.994312668293331,3,8,"regulation of gene silencing","BP"
"35","GO:0000055",0.0443154726684484,0.997151286770355,2,4,"ribosomal large subunit export from nucleus","BP"
"36","GO:0080111",0.0459058336601316,0.993207605829761,3,9,"DNA demethylation","BP"
"37","GO:0009749",0.0460118889014041,0.987504602703142,5,24,"response to glucose","BP"
"38","GO:0008380",0.0470188143956737,0.977855008980761,12,81,"RNA splicing","BP"
"39","GO:0010118",0.0472162588564012,0.989783711437938,4,15,"stomatal movement","BP"
"40","GO:0006611",0.0479064788152839,0.996781718489774,2,4,"protein export from nucleus","BP"
"41","GO:0006397",0.0482529621260766,0.974367780419036,16,121,"mRNA processing","BP"
"42","GO:0009165",0.0489439940190867,0.996167341876579,2,5,"nucleotide biosynthetic process","BP"
"43","GO:0010264",0.0492321119070362,0.996132019150469,2,5,"myo-inositol hexakisphosphate biosynthetic process","BP"
