ID,Gene,Chromosome,Start,End,Strand,Interpro_ID,Ontology_ID,Best_TAIR,Best_sport,Best_trembl_plants,Description,L_fSC_1,L_fSC_2,L_fSC_3,L_fSC_4,L_AtSC_1,L_AtSC_2,L_AtSC_3,L_AtSC_4,L_AtSCMloti_1,L_AtSCMloti_2,L_AtSCMloti_3,L_AtSCMloti_4,L_LjSC_1,L_LjSC_2,L_LjSC_3,L_LjSC_4,L_mock_1,L_mock_2,L_mock_3,L_mock_4,fullSC_vs_Mock_pvalue,fullSC_vs_Mock_padj,fullSC_vs_Mock_log2FoldChange,AtSC_vs_Mock_pvalue,AtSC_vs_Mock_padj,AtSC_vs_Mock_log2FoldChange,AtSCMloti_vs_Mock_pvalue,AtSCMloti_vs_Mock_padj,AtSCMloti_vs_Mock_log2FoldChange,LjSC_vs_Mock_pvalue,LjSC_vs_Mock_padj,LjSC_vs_Mock_log2FoldChange,fullSC_vs_AtSC_pvalue,fullSC_vs_AtSC_padj,fullSC_vs_AtSC_log2FoldChange,fullSC_vs_AtSCMloti_pvalue,fullSC_vs_AtSCMloti_padj,fullSC_vs_AtSCMloti_log2FoldChange,fullSC_vs_LjSC_pvalue,fullSC_vs_LjSC_padj,fullSC_vs_LjSC_log2FoldChange,AtSC_vs_AtSCMloti_pvalue,AtSC_vs_AtSCMloti_padj,AtSC_vs_AtSCMloti_log2FoldChange,AtSC_vs_LjSC_pvalue,AtSC_vs_LjSC_padj,AtSC_vs_LjSC_log2FoldChange,AtSCMloti_vs_LjSC_pvalue,AtSCMloti_vs_LjSC_padj,AtSCMloti_vs_LjSC_log2FoldChange,cl
LotjaGi1g1v0457600.1,LotjaGi1g1v0457600,chr1,96088830,96093310,-,IPR003657 (WRKY domain),"GO:0003677, GO:0003700, GO:0005634, GO:0006351, GO:0006355, GO:0043565",AT3G56400.1 WRKY DNA-binding protein 70,sp|Q9LY00|WRK70_ARATH Probable WRKY transcription factor 70,tr|A0A0B2S8Q8|A0A0B2S8Q8_GLYSO Putative WRKY transcription factor 70,WRKY transcription factor,7.259767714731588,7.519190869565584,6.815442528840997,6.849424222435523,6.57729799195387,7.089122604761835,7.547303758273521,7.016403695099885,7.705705967910384,7.477962198155318,6.544654283829641,6.905485305486042,7.447757420801198,7.16465482816962,6.727534159484325,7.177320333182228,9.036963697982287,8.984738415751574,9.254602153773739,9.738519618157877,5.872032514174407e-27,1.2296036084681208e-22,-3.06921247207265,1.0184539174913647e-8,6.34264001130265e-5,-2.630247542623043,8.975879871320296e-28,1.9949341808002924e-23,-2.8549200615431802,1.1273632293227885e-16,4.8181249694797336e-12,-2.518895086569736,0.25952849572607767,1,-0.43896492944960724,0.41225601555911623,1,-0.21429241052947032,0.09079266436418656,0.8115645567011947,-0.5503173855029146,0.589599557824722,1,0.22467251892013693,0.7973135662439221,1,-0.11135245605330736,0.2629739836449503,1,-0.3360249749734443,1
LotjaGi3g1v0404700.1,LotjaGi3g1v0404700,chr3,80721663,80725535,+,"IPR005123 (Oxoglutarate/iron-dependent dioxygenase), IPR026992 (Non-haem dioxygenase N-terminal domain)","GO:0016491, GO:0046872, GO:0055114",AT4G10500.1 2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,sp|Q9ZSA8|DLO1_ARATH Protein DMR6-LIKE OXYGENASE 1,tr|I1MKB2|I1MKB2_SOYBN Uncharacterized protein,2-oxoglutarate and Fe(II)-dependent oxygenase superfamily protein,3.5943611468460563,5.203959239878663,4.137430060063294,4.5887278932174995,3.697520720345257,3.7396735131440595,5.06871650262816,4.207391125245462,5.181527781649638,4.400887994993063,5.140206031354517,4.543267256329153,4.872411254350505,4.869147812737424,4.872330877440644,5.665386823032707,8.199368616865096,8.070214629472122,9.023203430684678,9.095499082268548,3.3187691032749546e-25,4.6330016681718364e-21,-5.008231280531634,1.1017396261850542e-6,0.0016561805953072845,-3.80984575570495,4.472844972989935e-25,6.627414396479187e-21,-4.482508875191282,9.633906399773632e-16,2.0586694585676274e-11,-4.017084208994335,0.07513926279485797,0.7701906941638933,-1.1983855248266835,0.24399097966782232,1,-0.5257224053403515,0.0738973922278704,0.7592828599669379,-0.9911470715372985,0.3451811466799621,1,0.672663119486332,0.782088786396256,1,0.20723845328938495,0.3569584140910997,1,-0.465424666196947,1
LotjaGi6g1v0360100.1,LotjaGi6g1v0360100,chr6,67155143,67158472,-,IPR027450 (Alpha-ketoglutarate-dependent dioxygenase AlkB-like),"GO:0016491, GO:0055114","AT4G36090.2 oxidoreductase, 2OG-Fe(II) oxygenase family protein",sp|D3ZKD3|ALKB5_RAT RNA demethylase ALKBH5,tr|A0A151T7Y1|A0A151T7Y1_CAJCA Alkylated DNA repair protein alkB isogeny 5,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase-like protein,6.601090326206366,6.572173279382587,6.3729613263428995,6.061361843671742,6.850086974701141,6.797306451287652,6.69944754104634,6.418478305539092,6.726919691638095,6.673776541076104,6.489682742063832,6.410155366938723,6.501099867348205,6.561005434847903,6.235519161768857,6.143311322313213,7.298407906131523,7.0954202327651075,7.217505292591198,7.231512419156214,1.0006690610263608e-20,8.381604055156798e-17,-1.3736081392821284,7.114549065616676e-7,0.0011928909691018975,-1.121449811065884,2.7139110242813893e-15,1.0223000508201549e-11,-1.0179555836814969,1.7460259888197265e-11,5.7401275930905743e-8,-1.14768492834122,0.18556057953816374,1,-0.2521583282162445,0.008872644304210642,0.48776047389376886,-0.35565255560063164,0.20864578244417037,1,-0.2259232109409084,0.6151978853946323,1,-0.10349422738438714,0.9057581460768437,1,0.026235117275336096,0.42742776352094797,1,0.12972934465972324,1
LotjaGi6g1v0298000.1,LotjaGi6g1v0298000,chr6,61557819,61560354,-,"IPR021109 (Aspartic peptidase domain), IPR032799 (Xylanase inhibitor, C-terminal), IPR032861 (Xylanase inhibitor, N-terminal)","GO:0004190, GO:0006508, GO:0008233",AT1G03220.1 Eukaryotic aspartyl protease family protein,sp|Q8RVH5|7SBG2_SOYBN Basic 7S globulin 2,tr|A0A072V423|A0A072V423_MEDTR Eukaryotic aspartyl protease family protein,Eukaryotic aspartyl protease family protein,6.016426204805362,6.5436054086887765,5.940797945293797,5.610940538795625,5.3788979475639405,6.15025066198961,6.370612413768355,6.005773985741547,6.404944984293357,6.138281849006434,5.4557415695449984,5.538187489689522,6.9855889710231285,6.668559367175842,5.96486657045357,6.591619903877418,8.186892644637496,8.01527457419372,7.8897832362921845,8.280368257622255,2.0914947946507863e-18,1.4598633666662488e-14,-3.050453069404827,2.0802405928367751e-7,5.336827602669359e-4,-2.8847691913599243,7.088105228205409e-23,7.876834137473966e-19,-3.1533175767844455,1.6416436223603125e-8,1.670489646010358e-5,-2.0467100407515466,0.7259096032733309,1,-0.16568387804490248,0.7502719861694764,1,0.10286450737961869,0.010591001889394734,0.313863777983463,-1.0037430286532802,0.5967729419171164,1,0.2685483854245212,0.10879278619277077,1,-0.8380591506083778,0.002321007175406745,0.15809685438231505,-1.1066075360328989,1
LotjaGi1g1v0258700.1,LotjaGi1g1v0258700,chr1,62673058,62677776,+,IPR000620 (EamA domain),"GO:0016020, GO:0016021, GO:0022857, GO:0055085",AT4G08290.1 nodulin MtN21 /EamA-like transporter family protein,sp|Q9SUF1|WTR31_ARATH WAT1-related protein At4g08290,tr|A0A0S3RDL0|A0A0S3RDL0_PHAAN WAT1-related protein,WAT1-related protein,7.915012579410726,8.633323680709854,5.939259014867033,5.82777866249593,8.71074196941748,8.286634930471376,8.479833179013056,7.99941889693748,7.870207250028854,8.565148576916693,7.082409280996808,6.501731233026138,7.88129669530816,8.0164104439246735,7.709023265837145,7.969726271453256,8.380247355423148,8.245168395440665,7.899521969842677,8.293503572407516,3.767325930629996e-14,1.5777560997478424e-10,-2.6702026977321602,0.04518234690014174,0.9588089283721036,-1.0907318700923485,2.1881661038640702e-7,6.315985161224792e-5,-1.6377876296400922,0.002763148662532261,0.1935925369496783,-1.0822810890237045,6.25670155234703e-4,0.0483640200448029,-1.5794708276398117,0.0011339570305498453,0.12175793790588658,-1.032415068092068,5.080653415007029e-5,0.0065651199113510895,-1.5879216087084556,0.2657986632474448,1,0.5470557595477435,0.9867756628487642,1,-0.008450781068643949,0.11707943654400409,1,-0.5555065406163875,1
LotjaGi3g1v0051600.1,LotjaGi3g1v0051600,chr3,5412636,5415288,+,IPR003657 (WRKY domain),"GO:0003677, GO:0003700, GO:0005634, GO:0006351, GO:0006355, GO:0043565",AT3G56400.1 WRKY DNA-binding protein 70,sp|Q9LY00|WRK70_ARATH Probable WRKY transcription factor 70,tr|V7APM3|V7APM3_PHAVU Uncharacterized protein,WRKY transcription factor,5.4025372128478235,5.855053381760786,4.849913528397357,4.748243106157354,4.75595727228823,5.187303953859669,5.88783342291141,5.296448956758893,5.615141123916811,5.311062612353508,4.8499405486684735,4.634027397430246,5.253740299812148,5.001799189142005,4.349283779811918,4.303239307183139,6.88239969550497,6.73324445908817,6.719842904423361,7.3686194871017054,1.3519067007102173e-12,3.7745235083829265e-9,-2.8881650376872425,2.7090667704261816e-4,0.08572543589163757,-2.3707591148324823,9.682611721780359e-15,2.5916935170509797e-11,-2.868847798637921,2.7373953096378318e-11,6.88181180842951e-8,-2.9630661418704927,0.34621535490033045,1,-0.5174059228547601,0.9590524765381999,1,-0.019317239049321262,0.8758114809435419,1,0.0749011041832505,0.40291655743022636,1,0.4980886838054388,0.34421201315944255,1,0.5923070270380105,0.8325568478632493,1,0.09421834323257176,1
LotjaGi2g1v0338000.1,LotjaGi2g1v0338000,chr2,81506381,81519106,-,IPR020683 (Ankyrin repeat-containing domain),"GO:0016020, GO:0016021",AT3G18670.1 Ankyrin repeat family protein,sp|Q8Q0U0|Y045_METMA Putative ankyrin repeat protein MM_0045,tr|A0A151THD2|A0A151THD2_CAJCA Ankyrin repeat-containing protein family,Ankyrin repeat-containing protein family,5.2117135076340855,5.094743545948821,4.816682544454828,4.804005481230915,4.361358547187744,4.916336711175612,5.204860814904636,4.778431725565367,5.3727300439998675,5.3728404642880365,4.987889910770395,4.937854134531684,4.947928236786483,5.232176556522767,5.298652803919754,5.238906582948116,5.963005230139189,5.870119821148251,6.101189054898753,6.444606200903181,1.937921416390269e-12,4.774126406966145e-9,-1.7999698167934128,5.830719474552008e-4,0.0996611433648517,-1.3812564790369266,8.507756194568866e-11,9.454456765119517e-8,-1.4607499069895622,2.0378954900435234e-5,0.00416725250973589,-1.201305141915391,0.2188919659439829,1,-0.4187133377564861,0.1541468853410973,1,-0.33921990980385064,0.04994607258881288,0.6513830280246674,-0.5986646748780218,0.8289900154664784,1,0.07949342795263546,0.6468049769671037,1,-0.1799513371215357,0.34871753084955665,1,-0.25944476507417114,1
LotjaGi2g1v0338000.2,LotjaGi2g1v0338000,chr2,81507159,81519038,-,NA,"GO:0016020, GO:0016021",AT3G18670.1 Ankyrin repeat family protein,sp|Q8Q0U0|Y045_METMA Putative ankyrin repeat protein MM_0045,tr|A0A151THD2|A0A151THD2_CAJCA Ankyrin repeat-containing protein family,Ankyrin repeat-containing protein family,5.2117135076340855,5.094743545948821,4.816682544454828,4.804005481230915,4.361358547187744,4.916336711175612,5.204860814904636,4.778431725565367,5.3727300439998675,5.3728404642880365,4.987889910770395,4.937854134531684,4.947928236786483,5.232176556522767,5.298652803919754,5.238906582948116,5.963005230139189,5.870119821148251,6.101189054898753,6.444606200903181,1.937921416390269e-12,4.774126406966145e-9,-1.7999698167934128,5.830719474552008e-4,0.0996611433648517,-1.3812564790369266,8.507756194568866e-11,9.454456765119517e-8,-1.4607499069895622,2.0378954900435234e-5,0.00416725250973589,-1.201305141915391,0.2188919659439829,1,-0.4187133377564861,0.1541468853410973,1,-0.33921990980385064,0.04994607258881288,0.6513830280246674,-0.5986646748780218,0.8289900154664784,1,0.07949342795263546,0.6468049769671037,1,-0.1799513371215357,0.34871753084955665,1,-0.25944476507417114,1
LotjaGi2g1v0131800_LC.2,LotjaGi2g1v0131800_LC,chr2,47882401,47885524,+,IPR009081 (Phosphopantetheine binding ACP domain),GO:0006633,AT5G47630.1 mitochondrial acyl carrier protein 3,"sp|P93092|ACP1_CASGL Acyl carrier protein 1, chloroplastic",tr|I3ST23|I3ST23_LOTJA Uncharacterized protein,Acyl carrier protein,6.042742210719357,6.955459497380664,6.553718823507362,6.867873024762297,6.058407447162677,6.028003922901528,6.920046724444335,6.431372337817286,6.672841962731627,7.481593334306801,6.881412041371409,6.627873077866765,7.084113952969493,7.3551975377161485,7.346913222473061,7.646313895537994,7.739432030557702,7.803910461865068,8.297649615345552,8.402957724761896,6.814194621396068e-12,1.4268923537203365e-8,-1.567252037867723,0.0978741170960455,1,-0.6096436836399295,9.250627878219332e-10,8.391829792137296e-7,-1.2857647122184241,0.02804167394435651,0.6634745988803371,-0.5390217608718915,0.0022904335001796713,0.11711694790115253,-0.9576083542277936,0.18334772576398364,1,-0.28148732564929896,8.498115952124763e-5,0.010154563230857469,-1.0282302769958316,0.04276302883079658,1,0.6761210285784945,0.839692526162913,1,-0.07062192276803807,0.001869833394666938,0.13766873968249754,-0.7467429513465327,5
LotjaGi5g1v0258400.1,LotjaGi5g1v0258400,chr5,56687073,56694839,-,"IPR010987 (Glutathione S-transferase, C-terminal-like), IPR012336 (Thioredoxin-like fold)",GO:0016740,AT2G29460.1 glutathione S-transferase tau 4,sp|Q9FQA3|GST23_MAIZE Glutathione transferase GST 23,tr|I3SCC6|I3SCC6_LOTJA Uncharacterized protein,Glutathione S-transferase,8.628827256671169,8.500646572921719,8.545170460700474,8.656588622254414,9.108457419023772,8.676592147345236,8.796053955501124,9.11166604074053,9.144886008413607,9.107715622933505,9.262883183018145,8.897299391237489,8.949588162989425,9.20385868741966,8.972745751842044,9.484869023917561,9.795296675449938,9.39621710312535,9.807125962744752,9.89508445664512,9.945640494503457e-12,1.983444875760975e-8,-1.4072678732017898,0.018216631901421716,0.6865108529699347,-0.7853781598269308,5.604648142516188e-5,0.0072845676778651195,-0.7661364660058496,4.952629847637435e-4,0.05570144590219177,-0.7697637261263873,0.02762250771286988,0.5038391636965898,-0.6218897133748589,6.395150836043164e-4,0.07787435909119153,-0.6411314071959402,0.006464640048853678,0.23729125913426494,-0.6375041470754024,0.9488065635113807,1,-0.019241693821081297,0.9601029035727697,1,-0.015614433700543481,0.9865504949768072,1,0.0036272601205378147,1
